Gene symbol	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells
0610005C13Rik	0.150958	0.1	0.1	0.1	0.1	0.1	0.1
0610007C21Rik	44.89126	34.185493	71.2213045	57.9859275	54.0060955	89.145033	63.5611085
0610007L01Rik	11.015039	12.028727	13.2859485	14.0583645	6.139475	18.4624185	13.5213735
0610007P08Rik	7.14411	2.020408	4.4770755	6.0243255	2.8636015	0.4469	4.693264
0610007P14Rik	48.9356665	24.370482	54.4753895	68.2469135	64.284606	10.411304	10.569456
0610007P22Rik	8.231357	13.2663215	9.3990205	10.0962935	8.8427435	6.713535	6.066753
0610008F07Rik	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0610009B14Rik	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0610009B22Rik	9.0919185	9.3691345	12.179345	13.843865	14.516118	2.6074355	12.0340855
0610009D07Rik	18.8397675	24.282501	38.7722635	39.726035	30.020797	13.0963695	32.0637435
0610009L18Rik	1.8617105	1.692506	4.9932585	3.534235	1.8841025	1.0950895	1.221332
0610009O20Rik	16.5202575	10.059333	21.975954	14.7778815	11.7345285	26.5622155	17.8318975
0610010B08Rik	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0610010F05Rik	5.131502	12.84933	4.919824	6.4129615	3.9355855	0.6310775	5.866775
0610010K14Rik	10.9815705	20.9677615	26.2298525	15.9339355	14.752458	50.769901	46.622623
0610010O12Rik	13.734514	19.9688545	12.067005	12.0369895	23.236654	2.373651	2.5099865
0610011F06Rik	5.293471	9.0607415	12.805981	6.6439465	7.785024	4.4735565	9.6777735
0610011L14Rik	6.5758085	6.264633	7.988561	9.797783	6.64303	7.1681585	7.701411
0610012G03Rik	7.9108935	13.9528785	17.4099125	14.832227	15.1223365	22.659537	17.5327255
0610012H03Rik	0.108252	0.1	0.3221325	0.1079525	0.1	0.1	0.1
0610030E20Rik	5.335911	3.13446	3.5427195	2.6825845	1.0178005	2.342625	1.3361555
0610031J06Rik	26.7512665	10.126548	34.007911	24.2279985	29.9365535	140.7139175	80.3604405
0610037L13Rik	19.2994605	9.4571165	18.961858	11.9134365	8.885066	13.0887925	21.949206
0610037P05Rik	16.4763895	20.504215	29.8917845	26.8607945	21.2977245	8.771153	21.4841615
0610038B21Rik	0.1	0.1526295	0.17293	0.1	0.1	0.1	0.121366
0610039K10Rik	0.1734565	0.305342	0.18063	0.1356745	0.1024605	0.4243295	0.578677
0610040B10Rik	1.5841485	1.534926	2.999764	3.3618245	3.052683	0.711292	2.86133
0610040F04Rik	0.170128	0.1	0.2092435	0.1	0.1	0.1	0.1
0610040J01Rik	13.94903	1.349351	33.54128	6.9408815	4.4411185	46.432484	0.128875
0610043K17Rik	0.1	0.1100585	0.1	0.1	0.1	0.1	0.1
0910001L09Rik	12.335172	21.235075	27.694419	31.2230645	32.307191	54.7623445	25.6670245
1100001G20Rik	0.1	0.1	0.1	0.1	0.1	0.6910385	0.1
1110001A16Rik	2.605917	4.7171855	5.8132505	4.5568105	3.4898935	8.9494025	10.139623
1110001J03Rik	16.720589	19.5763715	26.8497495	13.755501	10.246496	7.26272	17.4175665
1110002B05Rik	29.351776	23.6065035	53.599054	55.623357	58.251083	19.921542	117.5112445
1110002L01Rik	0.5593015	1.3826755	0.886379	1.0104095	0.426698	0.2444425	0.2059505
1110002N22Rik	2.646225	1.2207445	1.4318805	0.962178	0.8234435	2.148067	1.9660605
1110003E01Rik	12.461276	30.054303	28.891523	33.632513	43.2694495	24.0041755	30.02952
1110004E09Rik	5.8411605	9.5454415	12.2812355	7.2038785	4.5500295	2.745734	11.667293
1110004F10Rik	22.8857095	48.2118545	42.1938105	42.043456	23.689388	12.4789195	35.2049415
1110005A03Rik	4.9008455	4.9866195	7.2619595	6.8624955	6.5918525	4.585803	5.955321
1110006O24Rik	0.977629	0.2268975	0.6241905	1.1004345	0.921461	0.4595555	0.6016845
1110007C09Rik	6.9155045	9.1214035	6.044542	51.219223	86.1792625	101.6324305	31.2206505
1110008F13Rik	43.9598175	35.1813765	43.892591	39.60887	38.847415	51.5765485	53.908708
