Gene symbol	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells
KIAA0141	16.5202575	10.059333	21.975954	14.7778815	11.7345285	26.5622155	17.8318975
KIAA1841	5.131502	12.84933	4.919824	6.4129615	3.9355855	0.6310775	5.866775
C17orf49	10.9815705	20.9677615	26.2298525	15.9339355	14.752458	50.769901	46.622623
C2orf68	5.335911	3.13446	3.5427195	2.6825845	1.0178005	2.342625	1.3361555
C1orf123	19.2994605	9.4571165	18.961858	11.9134365	8.885066	13.0887925	21.949206
C4orf19	13.94903	1.349351	33.54128	6.9408815	4.4411185	46.432484	0.128875
C21orf59	5.8411605	9.5454415	12.2812355	7.2038785	4.5500295	2.745734	11.667293
C11orf58	22.8857095	48.2118545	42.1938105	42.043456	23.689388	12.4789195	35.2049415
C20orf24	43.9598175	35.1813765	43.892591	39.60887	38.847415	51.5765485	53.908708
KIAA0391	2.7917605	1.542022	2.153453	2.251565	0.9134235	0.8251245	4.5671845
C9orf16	6.6893125	20.2539085	13.080161	16.586867	26.2130025	9.823919	10.379116
C9orf24	1.63655	1.241404	0.647557	0.3072055	0.247173	0.7046315	0.4447745
C11orf1	3.1582985	3.4217825	5.371426	8.383001	15.0501445	4.0877995	5.3359235
C3orf80	3.6105295	0.988133	2.2310205	0.412507	0.220036	0.108941	0.1
C20orf196	5.218569	2.9237855	5.3175625	3.0111485	2.2630595	4.765786	30.5618165
C8orf33	13.6227825	7.291648	17.603043	10.5536765	6.8666995	6.9118155	13.8820985
C11orf49	8.4102745	18.9084485	17.91202	14.7937175	13.376892	4.363226	5.125337
C9orf85	9.3240775	5.890342	9.7032225	5.2904945	3.9946455	2.9511945	15.360077
KIAA1143	1.6919855	2.0096965	2.593105	1.3150675	1.276362	0.8012435	3.8418325
C1orf122	17.564552	28.5050485	27.749032	30.401238	45.1338855	13.7859835	24.6569885
C3orf58	4.8512765	20.002312	9.8563965	12.3410275	4.8149705	1.2647945	2.400697
C16orf74	3.3028435	2.6211605	1.0576215	1.5418775	3.7003735	1.339886	0.34534
