Gene symbol	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
TMEM212	0.330626	0.1	0.1	0.1	0.1	0.1	0.354165	0	1.88943	0.0731295	0.0772639	0.053249
ADAM7	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1.30671	0.138405	0.0227786	0.0848729	0.0333116
INSM1	0.262405	7.439316	0.8206155	1.3881955	3.6733825	0.1	0.1	2.1027	2.44402	0.0923678	0.210665	0.800728
KLK14	0.1	0.111933	0.1	0.1	0.1	0.1	0.1	5.11749	2.84978	0	1.39301	0.408762
HOXA6	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.0758188	0.240236	1.43512
NR2E1	32.3901625	3.3477655	16.933622	3.66741	0.3381835	0.112142	0.138933	6.01151	2.09392	0	1.89452	0.215391
RNF43	0.4078885	0.2891775	17.607303	5.953757	0.8676725	0.144275	0.1	5.85211	2.75552	0.389081	1.04063	1.06207
USP44	0.1609925	0.105575	0.2412605	0.170573	0.1	0.1	0.1	1.10932	0.644114	0.168582	0.288822	0.768784
DACT1	1.7021715	69.623645	7.263827	6.062028	2.5264015	0.5307085	1.210624	14.5605	12.5923	2.81075	3.54736	6.2134
BARX2	0.1	0.6672775	2.017181	11.1923205	12.7567595	0.2042655	0.1	1.77223	1.13644	0.610129	0.299335	0.84009
LALBA	0.1	0.1	0.1	0.104515	0.1	0.241494	1.919467	4.73694	5.35777	0.425366	1.72322	1.08421
GNA14	0.121545	0.2987285	0.1	0.1	0.1	0.102498	0.1	2.55649	1.43283	0.420997	0.460613	0.692612
ACTC1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2.1466	0.316406	0.0628758	0.0333854	0.321387
APLN	17.8699875	1.872367	5.7586825	4.1404695	16.627159	1.202699	162.8530305	70.9856	66.5901	5.60754	22.9136	49.956
HNRNPA1	4.9411905	18.9338615	8.509756	5.119597	0.568222	2.084327	7.7686235	84.8161	38.2198	19.0429	19.396	99.5518
BARHL2	0.1	4.709032	0.1	0.1	0.1	0.1	0.1	1.8708	0.873373	0	0.712838	0.193336
PAX7	0.1	0.10353	0.1	0.1	0.1	0.1	0.1	1.97555	1.24885	0.0456426	1.06927	0.0267033
FAT4	4.316204	2.235264	3.6846285	0.8613015	0.1	0.1	4.330651	4.75126	4.4249	1.55007	1.84109	4.39128
CLEC3B	0.580586	0.4672535	2.7217825	0.1239475	0.1146975	0.2543505	0.4721555	3.33013	6.41262	1.13828	1.00535	3.77086
PEG10	1.773362	8.370599	3.846249	2.870327	1.6778385	4.2094645	1.0118865	76.9385	62.0375	19.2999	25.2978	40.641
ITPKA	0.669347	1.283151	3.3458275	0.331396	2.8232535	4.7242185	0.5239185	1.06116	0.562219	0.0928677	0.246801	0.585211
CAMK2A	0.8091325	10.3249575	46.101027	6.2566335	47.1783505	42.912216	0.5048695	1.6531	1.51083	0.361199	0.648702	1.34146
CLDN5	11.1827515	8.338399	3.873234	0.235794	1.756982	11.168705	3437.040241	0.0306538	5.85241	0.76901	1.73144	0.62895
RPL26	1.8246775	1.617685	12.2752375	8.659103	3.6948505	5.557761	3.5808475	5.85121	3.15351	1.54698	0.000180411	8.75792
EFS	11.1997605	8.1983875	38.003983	31.544708	2.7696515	0.1234025	0.1012025	37.6911	33.3434	10.2012	13.6578	13.841
PROKR1	0.1871125	0.1524085	0.439203	0.1	0.1	0.1389495	0.1	6.99012	5.12257	2.29628	2.08551	5.21766
FAM181A	10.235806	0.565711	1.0651285	0.1	0.1	0.1	0.1	3.49318	2.71627	0.837472	2.02585	7.18
DNA2	1.133952	0.431422	1.0064675	0.1042515	0.1	0.1923425	0.631737	8.80924	5.68999	2.08206	3.40381	7.52981
