SHH_beta	Group4_gamma	SHH_delta	Group3_beta	SHH_alpha	WNT_beta	SHH_gamma	Group3_gamma	Group4_beta	Group3_alpha	Group4_alpha	WNT_alpha
Fam174b	6.94852712583	8.62450912305	6.96646865341	8.45606852697	6.79649237455	8.95947243819	6.80726150677	8.5715858672	7.48059378656	8.56206844691	7.82703995166	9.35408617808
Irx6	5.34410576357	6.13687334812	5.3291362668	6.26419475235	5.26539670058	6.03571914152	5.32259595081	6.55000026835	5.50196732159	8.67651857097	5.66196990861	6.52532721418
Nudt14	5.8659745814	5.42998975536	5.9689518833	5.30341584251	5.72609363094	5.44563517538	5.79355334496	5.3325469536	5.41756646052	5.33883309672	5.4165061088	5.26083104773
Zfp385a	6.43194679623	7.93261610439	6.40501858621	7.14815754595	6.35218919749	7.2598965591	6.68788262534	7.31342128473	7.26992293178	8.54702008288	7.39171963924	7.27857567414
Matk	5.33635018523	5.6175128045	5.37735798546	5.5532349237	5.34392172177	5.400147414	5.43535845126	6.33207361532	5.50264422827	6.3693567356	5.43837039286	5.42068910129
Ppp2r2b	6.05415526931	7.89073921194	5.86677834692	9.25725712246	5.69165069248	6.73935906443	6.80480365857	9.24792636113	7.33477402923	9.61130409299	7.17076735714	6.9201818129
Dusp2	5.17188509737	5.38703656755	5.12724214472	5.42214857819	5.17241880354	5.38630839648	5.16600469915	5.51583878205	5.26112773134	5.81076497745	5.23816942921	5.28473580647
Maoa	5.70062330223	6.6964847045	5.37010176158	7.14045392692	5.96869319	5.61824165886	5.86377975034	7.05742524105	6.22274362721	7.751161802	7.26305131111	6.3175230969
Sst	4.51889422683	6.33995529436	4.80322257653	5.58485492708	4.50345767649	4.72587001329	4.48105651264	5.55332437292	5.05498150071	7.65025484845	5.11765262992	6.13595728418
Tdrd9	4.05838269851	6.34077765178	4.19213050387	6.09289651124	4.14156845334	4.80816777652	4.31105251826	5.81669801177	5.1764019793	8.49632226949	4.95396530436	4.59918348131
Gsg1	3.74588664951	5.05099089312	3.85478066184	6.63814692086	3.76129067365	4.16282848333	3.71404245398	6.92605498673	4.15918853514	7.12868848421	4.16478131144	4.40338536476
Aanat	5.01938814423	5.36237252776	5.07871697213	5.58417962797	5.0596765782	5.25806635929	5.0602534614	5.68530111748	5.0416071156	6.27398069927	5.17851182086	5.41088595804
Rxrg	5.12293756194	7.77979467181	5.05826831388	7.30022000046	5.20709982518	6.61259018586	5.11954368321	8.05737378578	6.95178266061	8.42299858609	6.47789761592	6.09518519202
Abca4	4.68240508957	7.21810489186	4.58055610247	6.63648069443	4.5634229902	6.88087646424	4.74353782145	6.21708435032	5.81350968324	9.4924473519	5.76473106888	6.89360214055
Gngt1	2.74877967517	3.59880857046	2.81376447426	4.31427309751	2.77692747878	3.24080061629	2.72984891206	4.12999525418	2.95073288514	5.44900195936	2.90312675549	2.98530014092
Slc1a7	4.53812891163	8.12152757505	4.54048787997	7.73507078549	4.59990262305	6.69833340767	4.58298417249	9.46813148447	6.02995136229	10.1609469368	5.95795217359	6.16922074731
Tulp1	4.97005143409	6.25280399039	5.13592692757	6.42021424881	5.06390501951	6.24708588852	5.07771359906	7.50227431312	5.35800231884	8.71779138509	5.61315030204	6.11716286686
Crx	4.84403957874	6.93312452777	4.91292451164	6.24192729186	4.90813394928	5.5129552079	4.79385039213	7.61661346657	6.00663073914	8.50932641555	5.71041994823	5.45843418724
Aipl1	5.5338058584	7.13512920742	5.55592832036	7.11573418414	5.54183445755	6.06858384233	5.51640248972	7.44603477852	5.83652356506	9.75342693836	5.83677907477	6.15898223504
Nrl	6.04623968	8.13393707287	6.18620401258	8.5473702023	6.09793379357	6.96597865376	6.2334341436	8.56984758867	6.86166720823	10.5894606167	6.71988560286	6.90635908455
Ttr	4.7837795058	7.77242119571	4.77569867401	8.78985129457	4.78380517771	6.08503759271	5.01369507617	9.3590256239	7.1119052475	10.355182141	8.08034076141	5.72709173057
Vtn	4.82889308214	6.94691581429	4.98487447666	6.57734711586	4.69701927375	5.40501568033	5.00469374543	6.37973227127	5.92151921072	8.00020401331	5.78777317917	5.25876402496
Gnb3	7.71331908874	10.2105118762	7.26119141239	9.98365774143	7.35271470486	9.54543119943	8.02000739957	10.7300988218	8.77112152776	11.8676490037	9.16786198909	9.90633357306
Foxg1	4.84477042757	8.3528612965	5.47430457049	9.40415274692	5.79286692891	5.09519349795	5.02865922666	9.44146932945	8.14082337806	8.3729653119	8.4527959196	4.83661096571
Prdx1	10.1687347827	10.5631545627	9.82889930564	11.1214393535	10.1133382651	10.6940836058	9.92212255987	10.8858141733	9.92193405473	11.2419214267	10.2159849377	11.0089840582
Tac1	4.21593855589	4.76110709564	3.58511070526	6.35541681727	3.70718850509	3.835591329	3.62907317457	5.4750387256	4.97794879193	6.02237283225	5.52324986652	4.04472699547
Sag	4.04653461383	5.15437882495	4.1665792617	5.35709712784	4.07442952315	4.21662374829	4.05788836549	5.47309632257	4.57804010837	7.68069063976	4.31553767038	4.14909838259
Samd7	3.9365758676	5.09645819103	3.96147150788	4.79344174308	3.9372245372	3.92570930305	3.94568464662	4.52951774615	4.31860408517	7.33284957209	4.14069714997	3.84757597112
Cacna1f	4.64549697446	7.73780505978	4.73341305038	6.99640123641	4.70735087683	7.84431133567	4.79245411143	7.33455883747	7.32526280094	8.42740156212	6.69622552561	7.86300112043
Prph2	5.14750888489	7.31651490816	4.80883326361	6.51219448146	4.83663005377	5.39982934019	5.21021552362	6.49385385393	7.61724836986	8.90338777745	5.68199906736	4.75348852506
Rbp3	3.93690539777	5.06270909871	3.97002852908	5.14101800219	3.92550028308	4.42515581695	4.01895104077	5.02124297942	4.23603696239	6.38853290245	4.03512418888	3.95968000686
Cnga1	3.71701289769	4.52794974553	3.8589638292	4.58519798316	3.82422521182	3.919843143	3.76969827953	4.4698875225	3.9257500105	6.03621679478	3.92712894513	3.89696968571
Pde6g	4.85786087494	6.19363856753	4.84390171267	5.79284570962	4.77756082352	4.69091588814	4.81985658681	5.92309305648	5.33574371877	8.24221402209	5.26490157556	4.68259804408
