Gene_ID/FPKM	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
HIST1H3C	0.001494546	2.24128	0.00348835	0.001415828	0.001100506
TMEM212	0	1.88943	0.0731295	0.0772639	0.053249
ADAM7	1.30671	0.138405	0.0227786	0.0848729	0.0333116
INSM1	2.1027	2.44402	0.0923678	0.210665	0.800728
CCL21	0	4.79894	0.422171	0.349565	0.315668
KLK14	5.11749	2.84978	0	1.39301	0.408762
C6orf58	0.300319	1.00934	0.100349	0.106539	0
TP53I11	316.843	274.661	16.1613	70.6557	87.7844
HOXA6	0	0	0.0758188	0.240236	1.43512
NR2E1	6.01151	2.09392	0	1.89452	0.215391
RNF43	5.85211	2.75552	0.389081	1.04063	1.06207
USP44	1.10932	0.644114	0.168582	0.288822	0.768784
DACT1	14.5605	12.5923	2.81075	3.54736	6.2134
OR10AD1	13.6831	7.14236	1.64259	3.10168	6.19792
BARX2	1.77223	1.13644	0.610129	0.299335	0.84009
LALBA	4.73694	5.35777	0.425366	1.72322	1.08421
GNA14	2.55649	1.43283	0.420997	0.460613	0.692612
ACTC1	2.1466	0.316406	0.0628758	0.0333854	0.321387
APLN	70.9856	66.5901	5.60754	22.9136	49.956
HNRNPA1	84.8161	38.2198	19.0429	19.396	99.5518
HBQ1	0.288339	1.20759	0	0.297403	0.513006
BARHL2	1.8708	0.873373	0	0.712838	0.193336
CA3	28.9798	14.1823	3.52982	9.47214	8.52513
PAX7	1.97555	1.24885	0.0456426	1.06927	0.0267033
FAT4	4.75126	4.4249	1.55007	1.84109	4.39128
CLEC3B	3.33013	6.41262	1.13828	1.00535	3.77086
PEG10	76.9385	62.0375	19.2999	25.2978	40.641
ITPKA	1.06116	0.562219	0.0928677	0.246801	0.585211
CAMK2A	1.6531	1.51083	0.361199	0.648702	1.34146
CLDN5	0.0306538	5.85241	0.76901	1.73144	0.62895
RPL26	5.85121	3.15351	1.54698	0.000180411	8.75792
EFS	37.6911	33.3434	10.2012	13.6578	13.841
PROKR1	6.99012	5.12257	2.29628	2.08551	5.21766
FAM181A	3.49318	2.71627	0.837472	2.02585	7.18
DNA2	8.80924	5.68999	2.08206	3.40381	7.52981
NETO1	11.6966	8.02287	3.78774	3.73504	4.82441
TOX2	11.1434	11.2738	2.32981	4.8847	7.51386
SKP2	23.6316	13.3294	4.66915	7.80066	14.0534
MKI67	68.0255	54.6835	21.1092	29.3726	69.0399
