Gene_ID/FPKM	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
Mir6340	7.46E-05	5.12932	0.000153221	6.70E-06	1.11E-05
Gm12669	4.10404	9.83E-05	0.000375163	0.000200177	3.44E-05
Hist2h3c1	0.001494546	2.24128	0.00348835	0.001415828	0.001100506
Tmem212	0	1.88943	0.0731295	0.0772639	0.053249
Adam7	1.30671	0.138405	0.0227786	0.0848729	0.0333116
Insm1	2.1027	2.44402	0.0923678	0.210665	0.800728
Mir8104	82.8466	3.60558	5.90E-10	42.1055	190.562
Ccl21a	0	4.79894	0.422171	0.349565	0.315668
Gm5795	2.644016	2.381851	0.0578226	0.00425134	0.01068081
Calca	68.6002	64.4057	5.04546	4.22874	15.1313
Gm12191	24.8558	26.7048	6.18093	0.00689632	17.5066
Gm13304	0	1.539623	0.326944	0.000651002	0.000443733
Lao1	0.442539	1.56434	0.0212252	0.428798	0.496305
Klk14	5.11749	2.84978	0	1.39301	0.408762
Snord22	17.4357	18.0744	0	0	33.6228
2310057J18Rik	0.300319	1.00934	0.100349	0.106539	0
Trp53i11	316.843	274.661	16.1613	70.6557	87.7844
Snora15	183.958	0	16.978	0	0
Gm14685	1.927206	1.979385	0.323376	0.756169	1.088518
Hoxa6	0	0	0.0758188	0.240236	1.43512
Nr2e1	6.01151	2.09392	0	1.89452	0.215391
Rnf43	5.85211	2.75552	0.389081	1.04063	1.06207
Usp44	1.10932	0.644114	0.168582	0.288822	0.768784
Dact1	14.5605	12.5923	2.81075	3.54736	6.2134
Olfr287	13.6831	7.14236	1.64259	3.10168	6.19792
Barx2	1.77223	1.13644	0.610129	0.299335	0.84009
Fndc3c1	8.10293	4.86551	0.380997	2.46607	8.43485
Olfr288	2.33748	1.2972	0.382974	0.593366	1.0652
Lalba	4.73694	5.35777	0.425366	1.72322	1.08421
Gna14	2.55649	1.43283	0.420997	0.460613	0.692612
Duxbl2	1.41174	0.273407	0.206749	0.122691	0.301672
Gm10409	2.85646	3.35792	0.432011	0.415461	0.661945
Actc1	2.1466	0.316406	0.0628758	0.0333854	0.321387
Apln	70.9856	66.5901	5.60754	22.9136	49.956
Duxbl3	3.66874	0.850634	0.691472	0.4836476	0.87753
Hnrnpa1	84.8161	38.2198	19.0429	19.396	99.5518
Hbq1a	0.288339	1.20759	0	0.297403	0.513006
Barhl2	1.8708	0.873373	0	0.712838	0.193336
Car3	28.9798	14.1823	3.52982	9.47214	8.52513
Pax7	1.97555	1.24885	0.0456426	1.06927	0.0267033
Fat4	4.75126	4.4249	1.55007	1.84109	4.39128
Clec3b	3.33013	6.41262	1.13828	1.00535	3.77086
Peg10	76.9385	62.0375	19.2999	25.2978	40.641
Itpka	1.06116	0.562219	0.0928677	0.246801	0.585211
Gm10406	1.77546	2.07188	0.3736	0.178764	0.50481
Camk2a	1.6531	1.51083	0.361199	0.648702	1.34146
Gm3383	4.08106	6.07439	1.012853	0.498898	1.158077
2700038G22Rik	2.5029	1.60903	0.617716	0.916881	2.46353
Cldn5	0.0306538	5.85241	0.76901	1.73144	0.62895
2610318N02Rik	1.36756	1.02411	0.245894	0.522017	0.923189
Pcdhgb8	5.35934	1.02597	0.699069	0.960671	0.730116
Rpl26	5.85121	3.15351	1.54698	0.000180411	8.75792
Efs	37.6911	33.3434	10.2012	13.6578	13.841
Prokr1	6.99012	5.12257	2.29628	2.08551	5.21766
Gm3488	1.22048	1.53067	0.367268	0.0965627	0.324893
Fam181a	3.49318	2.71627	0.837472	2.02585	7.18
Gm3317	1.12743	1.518	0.339372	0.0991764	0.328831
Dna2	8.80924	5.68999	2.08206	3.40381	7.52981
Neto1	11.6966	8.02287	3.78774	3.73504	4.82441
2310069G16Rik	1.1209	0.795212	0.455024	0.301066	0.663378
