AQP4	GAD1	NEUROD2	NEUROD2_GAD1	PAX6	PAX6_AQP4	PAX6_GAD1	PAX6_NEUROD2	PAX6_NEUROD2_GAD1	PDGFRA	PDGFRA_GAD1	PDGFRA_NEUROD2	PTPRC	PTPRC_NEUROD2
A1BG	2	212	2383	516	20	1	0	571	69	88	1	30	3	0
A1BG-AS1	0	2	137	4	1	1	0	54	0	0	0	1	0	1
A1CF	0	1	178	7	3	1	0	4	0	0	0	0	3	0
A2M	4	164	3923	800	827	68	4	710	1	188	98	237	7956	1685
A2M-AS1	5	75	383	155	38	0	0	233	0	42	0	18	69	14
A2ML1	0	42	210	121	28	49	0	9	0	10	1	1	0	1
A2MP1	0	31	105	51	3	1	0	0	1	34	0	0	16	0
A3GALT2	0	0	1	0	0	0	0	8	107	0	0	0	0	0
A4GALT	90	0	44	12	45	0	0	2	0	1	0	0	0	0
A4GNT	0	0	10	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	10	50	0	0	0	0	0	0	0	0	0	0
AAAS	447	1660	15213	1380	5492	609	61	4217	618	1233	267	183	360	75
AACS	34	662	8891	1471	1686	381	51	3161	98	346	3	267	67	379
AACSP1	0	1	2	1	97	0	0	18	0	0	71	0	0	0
AADAC	0	0	0	6	0	0	0	0	0	0	0	0	0	0
AADACL2	0	14	1	0	1	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	1	0	0	0	0	0	0	51	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	11	0	0	0	0	0	1	0	2	0	0	1
AADAT	92	551	4898	988	1608	3	81	1623	153	446	60	200	15	85
AAED1	1	78	101	10	103	0	44	12	0	380	0	1	189	0
AAGAB	10	193	3755	619	1004	145	2	894	60	208	3	96	101	58
AAK1	900	10636	54322	9562	9377	1837	900	12623	649	2932	1102	1856	1602	1505
AAMDC	5	454	4140	169	4223	635	155	3099	125	706	115	110	173	75
AAMP	570	1990	11465	1943	4930	251	325	4214	115	933	318	427	648	328
AANAT	0	1	8	1	39	0	0	0	0	1	0	0	0	0
AAR2	172	1100	7160	1091	2418	160	129	1838	198	500	188	176	75	85
AARD	0	13	396	78	472	1	0	49	0	183	6	1	119	2
AARS	548	847	7959	1207	2953	633	105	2430	17	996	175	565	511	111
AARS2	119	869	3641	939	1120	51	80	1198	279	261	48	44	171	63
AARSD1	0	0	8	1	3	0	0	0	0	0	0	0	0	0
AASDH	144	1357	8656	1879	3114	341	103	2868	11	476	58	291	335	198
AASDHPPT	309	4224	25317	4050	6468	692	439	6566	499	1856	480	528	214	660
AASS	370	696	7347	954	4618	1168	362	4253	726	924	61	350	31	69
AATBC	1	5	4	0	0	0	1	32	0	0	1	0	0	1
AATF	236	523	9288	629	2879	180	54	2894	80	258	29	258	338	236
AATK	1	11	459	150	51	4	0	42	0	2	0	86	1	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABALON	46	1029	8389	1003	2421	465	14	2506	296	245	51	134	79	1
ABAT	343	1020	7394	1280	3230	622	91	2541	118	692	147	804	101	367
ABCA1	15	468	5644	446	963	38	12	1946	56	180	36	148	520	426
ABCA10	0	8	85	237	13	0	0	39	1	0	4	1	3	0
ABCA11P	54	149	855	102	624	3	36	348	0	33	0	34	9	0
ABCA12	4	111	352	135	196	21	3	82	0	138	0	10	5	2
ABCA13	0	184	376	74	55	6	0	86	0	45	4	5	0	15
ABCA17P	0	0	367	51	51	1	29	16	0	1	0	32	1	38
ABCA2	118	206	2705	671	249	33	43	532	5	48	13	214	17	110
ABCA3	112	964	10827	2374	942	375	117	2121	267	558	56	936	644	467
ABCA4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCA5	64	451	2993	1660	488	4	62	890	222	298	26	389	28	33
ABCA6	0	29	199	137	9	0	0	70	0	9	0	1	0	0
ABCA7	2	63	941	39	46	1	1	504	13	3	0	2	77	0
ABCA8	0	0	11	0	0	0	0	4	0	1	20	0	0	0
ABCA9	4	4	107	21	2	2	0	17	2	2	1	1	0	2
ABCA9-AS1	0	0	80	0	0	0	0	0	0	0	0	0	0	0
ABCB1	83	56	187	97	38	0	0	320	0	25	0	34	2	0
ABCB10	61	424	1906	470	514	78	2	884	2	86	21	32	107	89
ABCB11	0	0	4	0	0	0	0	4	0	0	6	0	0	2
ABCB4	0	1	47	7	391	10	0	152	0	50	28	10	0	34
ABCB5	0	4	28	21	27	2	0	162	0	3	32	2	0	3
ABCB6	381	388	5160	850	1202	238	93	1276	75	343	4	296	10	66
ABCB7	85	360	3786	668	1030	140	22	1236	16	59	0	68	323	209
ABCB8	63	430	2819	480	797	162	44	959	48	414	35	161	36	98
ABCB9	29	74	845	117	125	34	3	239	5	1	1	151	3	1
ABCC1	17	218	922	196	196	3	1	221	0	41	2	25	79	34
ABCC10	103	177	2039	469	254	147	46	598	36	57	1	219	86	11
ABCC11	0	0	6	2	0	1	0	1	0	0	0	0	0	1
ABCC12	0	120	181	241	5	1	0	1	0	1	0	1	0	1
ABCC13	1	1	75	3	2	0	1	24	0	21	0	0	24	2
ABCC2	0	0	50	7	6	0	0	0	0	0	0	0	0	0
ABCC3	0	0	26	4	0	0	0	0	0	0	0	0	0	1
ABCC4	103	10	616	12	766	137	0	956	108	10	2	52	311	114
ABCC5	447	2189	13286	3686	2206	28	193	4166	119	854	208	885	432	292
ABCC5-AS1	0	1	11	0	2	0	0	23	0	0	0	0	0	0
ABCC6	0	3	43	22	102	11	1	102	0	17	0	24	0	0
ABCC6P1	0	10	0	1	0	0	0	0	0	1	0	5	0	0
ABCC6P2	1	0	2	0	28	9	0	33	0	16	0	39	1	0
ABCC8	36	316	2205	1109	141	81	1	429	2	71	103	233	2	3
ABCC9	268	2193	15243	3922	3061	548	236	5210	219	854	327	752	326	259
ABCD1	5	225	811	215	188	1	0	405	46	52	63	3	68	54
ABCD2	0	2	1032	39	77	61	4	140	0	1	0	0	1	0
ABCD3	553	466	6211	1150	2807	849	218	2533	56	642	105	310	159	9
ABCD4	178	1320	8173	1228	2656	458	6	2837	9	497	24	256	292	36
