Gene_ID/FPKM	Intact	bridge	distal
0610005C13Rik	0	0	0
0610007P14Rik	63.2855	34.694775	26.35345
0610009B22Rik	39.679575	29.96315	38.61585
0610009L18Rik	7.48325	7.7199425	2.0476625
0610009O20Rik	17.905975	13.724725	10.1950575
0610010B08Rik	1.9615565	0.359794453	1.204208425
0610010F05Rik	8.2304225	4.441325	9.657005
0610010K14Rik	50.169275	96.42545	60.58225
0610011F06Rik	32.557025	20.55245	21.39125
0610012G03Rik	25.89075	57.36125	39.994325
0610030E20Rik	7.2624175	1.7860725	4.27942
0610031J06Rik	87.838825	129.680525	141.52775
0610031O16Rik	0	0	0
0610037L13Rik	27.773	39.613175	36.215625
0610038B21Rik	0.443159275	0.60922675	0.9532595
0610039K10Rik	0.0222793	0.0535887	6.4358E-12
0610040B10Rik	0.59497075	0	3.0412875
0610040F04Rik	0.09142265	6.71968E-11	9.48854E-11
0610040J01Rik	13.4372475	8.2034175	18.6133075
0610043K17Rik	0.8915385	0	0.29278395
1010001N08Rik	0.08270975	0	0.065179
1100001G20Rik	0	0	0.03601025
1110001J03Rik	46.390275	51.423275	24.409435
1110002L01Rik	0.827104	0.035642297	0.312672503
1110004E09Rik	18.020475	35.6304275	15.2404825
1110004F10Rik	103.406	107.489625	64.41205
1110006O24Rik	1.62601025	1.3665825	4.05630675
1110007C09Rik	56.01605	104.528175	132.0365
1110008F13Rik	51.60785	116.1159	57.3675
1110008L16Rik	3.726135	2.8765975	3.427885
1110008P14Rik	18.8805	45.51105	29.9944
1110012L19Rik	44.477175	31.889	28.942175
1110015O18Rik	0.65428975	0	0
1110017D15Rik	0.160001	0	0.126844
1110019D14Rik	0.17097215	0	0.19973875
1110020A21Rik	2.4271075	3.233601	0.34230575
1110025L11Rik	0	0	0
1110028F11Rik	0	0	0
1110028F18Rik	0	0	0
1110032A03Rik	17.617725	11.8353225	16.3700575
1110032F04Rik	0	0	0
1110034G24Rik	14.779975	4.55944	4.20667
1110036E04Rik	0	0	0
1110037F02Rik	3.645895	3.7922375	3.9790725
1110038B12Rik	18.578175	22.6091175	25.87245
1110038F14Rik	23.561075	32.438525	33.18515
1110046J04Rik	10.365445	20.392725	6.3719625
1110051M20Rik	29.01845	25.004	17.433725
1110054M08Rik	2.4408275	4.81755	4.795633675
1110057K04Rik	23.287425	15.0043	18.707325
1110058L19Rik	32.522925	74.4223	56.020625
1110059E24Rik	35.25245	68.39715	30.527725
1110059G10Rik	6.2913925	4.4966975	6.32356
1110065P20Rik	14.444775	33.53995	16.6237875
1190002F15Rik	0.932355	10.9627325	2.787395
1190002N15Rik	1.8730175	0.133099075	1.058643775
1190003K10Rik	0	0	0
1190005I06Rik	7.4771125	5.42067	1.02663675
1190007I07Rik	8.7235725	3.27392325	2.664466
1200014J11Rik	5.003705	3.4984055	3.49399
